Post_ID,Institution,Platform,Date,Content_Category,Format,Tone,Voice,Visual_Style,Messaging_Approach,Production_Quality,Engagement_Rate,Likes,Comments,Shares
QR040,NYU,Instagram,2025-09-06,Student Life,Reel,Casual,Student,Candid,Interactive,8.6,3.52,19320,348,1220
QR041,NYU,TikTok,2025-09-05,Campus Tours,Video,Humorous,Student,Behind-scenes,Day-in-life,8.9,5.08,19540,825,2285
QR042,NYU,TikTok,2025-09-04,Challenge,Video,Casual,Student,Candid,Trend-participation,9.1,5.25,20213,865,2450
QR043,Columbia,Instagram,2025-09-10,Research Highlight,Static,Formal,Faculty,Professional,Feature-focused,8.2,2.58,11795,238,525
QR044,Columbia,Instagram,2025-09-09,Student Life,Reel,Casual,Student,Candid,Story-driven,8.6,3.38,15446,318,935
QR045,Columbia,Instagram,2025-09-08,Campus Events,Carousel,Semi-formal,Institutional,Professional,Promotional,7.8,2.12,9684,185,395
QR046,Columbia,TikTok,2025-09-07,Student Voice,Video,Humorous,Student,Candid,Interactive,8.7,4.95,14761,635,1895
QR047,Columbia,TikTok,2025-09-06,Campus Life,Video,Casual,Student,Behind-scenes,Day-in-life,8.5,4.78,14254,595,1750
QR048,Rutgers,Instagram,2025-09-10,Research,Static,Formal,Faculty,Professional,Educational,7.6,1.88,2332,92,175
QR049,Rutgers,Instagram,2025-09-09,School Spirit,Reel,Celebratory,Mixed,Professional,Emotional,8.1,3.22,3993,185,445
QR050,Rutgers,Instagram,2025-09-08,Student Life,Reel,Casual,Student,Candid,Story-driven,8.0,3.08,3819,172,415
QR051,Rutgers,TikTok,2025-09-07,Athletics,Video,Celebratory,Mixed,Professional,Emotional,8.4,4.85,7566,378,1165
QR052,Rutgers,TikTok,2025-09-06,Campus Life,Video,Casual,Student,Behind-scenes,Interactive,8.2,4.68,7301,358,1095
QR053,Brandeis,Instagram,2025-09-10,Academic Excellence,Static,Formal,Faculty,Professional,Educational,7.4,1.92,488,24,16
QR054,Brandeis,Instagram,2025-09-09,Student Life,Reel,Semi-formal,Student,Candid,Story-driven,7.3,2.55,648,32,23
QR055,Brandeis,Instagram,2025-09-08,Campus Events,Carousel,Semi-formal,Institutional,Professional,Promotional,7.2,1.78,452,21,14
QR056,Brandeis,TikTok,2025-09-07,Student Voice,Video,Casual,Student,Candid,Story-driven,7.6,4.12,762,40,92
QR057,Brandeis,TikTok,2025-09-06,Campus Life,Video,Semi-formal,Student,Behind-scenes,Interactive,7.4,3.88,718,36,82
QR058,Maryland,Instagram,2025-09-10,Research,Static,Semi-formal,Faculty,Professional,Educational,8.0,2.15,6192,215,485
QR059,Maryland,Instagram,2025-09-09,Athletics,Reel,Celebratory,Mixed,Professional,Emotional,8.7,3.62,10426,395,1285
QR060,Maryland,Instagram,2025-09-08,Student Life,Reel,Casual,Student,Candid,Day-in-life,8.8,3.65,10512,402,1298
QR061,Maryland,TikTok,2025-09-07,School Spirit,Video,Celebratory,Student,Candid,Challenge,9.1,5.12,21094,978,3085
QR062,Maryland,TikTok,2025-09-06,Student Voice,Video,Humorous,Student,Behind-scenes,Trend-participation,8.9,4.98,20518,935,2920
